,track_pos,track_artist_name,track_track_uri,track_artist_uri,track_track_name,track_album_uri,track_duration_ms,track_album_name,pid
0,0,S Club 7,spotify:track:1rzssdgfZiGs7VAMsYN9SF,spotify:artist:1kM5rgJvkiDMOoKX56H6pX,Never Had A Dream Come True,spotify:album:7nCFDT4RoGQcXoPFTDrpGH,240640,7,974000
1,1,Miley Cyrus,spotify:track:5AnCLGg35ziFOloEnXK4uu,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Adore You,spotify:album:3RDqXDc1bAETps54MSSOW0,278746,Bangerz (Deluxe Version),974000
2,2,ZAYN,spotify:track:0PDUDa38GO8lMxLCRc4lL1,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,PILLOWTALK,spotify:album:5amj9zNeZ3B2EdpBgXrOZ0,202746,Mind Of Mine (Deluxe Edition),974000
3,3,Haley Reinhart,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,spotify:artist:5cKlE8f6b26h61Ml7m052Q,Can't Help Falling in Love,spotify:album:2jg7PvepCK9V7MyWM7pvzr,173174,Better,974000
4,4,James Blunt,spotify:track:2N0volXQpwsvjDorTTxBAU,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,Bonfire Heart,spotify:album:4Sj9XfiPLf5byGh7u2ZU7g,238000,Moon Landing,974000
5,5,Joshua Radin,spotify:track:2ZaYFNn1YQuLSVdHhanr4Q,spotify:artist:7omzannyG2lfDqP5xyZo34,Only You,spotify:album:3kJxji4lJkuzZJSTWFbNnG,149013,We Were Here,974000
6,6,Rachel Platten,spotify:track:3kSXn1osC89W8JcPLozTzs,spotify:artist:3QLIkT4rD2FMusaqmkepbq,Stand By You,spotify:album:0mFDIOqypzHp6Xd0el1hoT,219000,Wildfire,974000
7,7,Enrique Iglesias,spotify:track:3Y8WRvVlQHMvtBwaV4TGlJ,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,Hero,spotify:album:0zktx87Zil6xHw7OWtXwIz,264240,Escape,974000
8,8,Ellie Goulding,spotify:track:0ZPfDxZn5O0L84wvPSN2iG,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,How Long Will I Love You - Bonus Track,spotify:album:3KVeczHxWg5YFKb0gS62f2,154435,Halcyon Days,974000
9,9,Mario,spotify:track:5xV0Czdqefft6sPDqjmFBu,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,Let Me Love You,spotify:album:332c3yPZilz3OnqZKpRxl7,248825,Turning Point,974000
10,10,Selena Gomez,spotify:track:1JvGjHoDwbekZ9lNVzH0GH,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Nobody,spotify:album:7lDBDk8OQarV5dBMu3qrdz,217440,Revival,974000
11,11,Jason Mraz,spotify:track:53QF56cjZA9RTuuMZDrSA6,spotify:artist:4phGZZrJZRo4ElhRtViYdl,I Won't Give Up,spotify:album:64SChsjQBiEe3aVTFYnW1b,240165,Love Is A Four Letter Word,974000
